location_id,latitude,longitude,route_segment,n_chargers_proposed,source_segment_id,route_component_id,placement_km,gap_spacing_threshold_km,source_gap_length_km,tent_tier,is_tent,available_capacity_mw,distributor_network,connection_distance_km,connection_tier,nearest_substation_id,nearest_substation_capacity_mw,grid_status,estimated_demand_kw
STA_0001,38.775545,-2.446657,N-322,4,1002,N-322__component_01,92.45,100.0,127.02,comprehensive,True,0.0,i-DE,20.605,high_cost,3591,0.0,Congested,600
STA_0002,37.900207,-6.644477,N-433,4,458,N-433__component_01,60.0,100.0,120.01,comprehensive,True,0.0,Endesa,10.256,feasible,MOLEONA,0.0,Congested,600
STA_0003,41.512416,-0.068422,AP-2,4,840,AP-2__component_01,58.08,60.0,103.01,core,True,0.0,Endesa,6.556,feasible,MONEGROS,0.0,Congested,600
STA_0004,40.455491,-1.232499,A-23,4,25,A-23__component_01,130.87,60.0,77.2,core,True,0.0,Endesa,0.722,optimal,CELLA,0.0,Congested,600
STA_0005,37.82396,-6.716242,N-435,2,460,N-435__component_01,122.99,120.0,149.27,none,False,0.0,Endesa,12.746,feasible,REPILADO,0.0,Congested,300
STA_0006,43.069502,-4.755363,N-621,2,544,N-621__component_01,64.62,120.0,129.23,none,False,0.06,Viesgo,15.926,high_cost,OJEDO,0.06,Congested,300
STA_0007,38.695176,-4.919327,N-502,2,474,N-502__component_02,64.41,120.0,128.82,none,False,0.0,Endesa,29.63,none,HINOJOSA,0.0,Congested,300
STA_0008,42.681726,-8.634557,AP-9,4,163,AP-9__component_01,97.0,60.0,60.4,core,True,0.0,Viesgo,98.413,none,SAN_CIBRAO,16.5,Congested,600
