segment_id,route_segment,corridor,is_tent,daily_bev_traffic_2027,seasonal_multiplier,n_chargers_det,n_chargers_abm,n_chargers_stoch,delta_seasonal,delta_mc_noise,simulated_charging_rate,capacity_kw_abm
69,A-6,Atlantic,True,724.1,1.5,4,4,4,0,0,0.1365,600
70,A-6,Atlantic,True,736.8,1.5,4,4,4,0,0,0.1285,600
71,A-6,Atlantic,True,887.2,1.5,4,4,4,0,0,0.118,600
72,A-6,Atlantic,True,314.3,1.5,4,4,4,0,0,0.108,600
73,A-6,Atlantic,True,572.4,1.5,4,4,4,0,0,0.13,600
74,A-6,Atlantic,True,397.0,1.5,4,4,4,0,0,0.133,600
75,A-6,Atlantic,True,776.6,1.5,4,4,4,0,0,0.1345,600
76,A-6,Atlantic,True,735.8,1.5,4,4,4,0,0,0.133,600
77,A-6,Atlantic,True,770.8,1.5,4,4,4,0,0,0.1085,600
78,A-6,Atlantic,False,534.8,1.5,2,2,2,0,0,0.122,300
79,A-60,Atlantic,False,389.0,1.5,2,2,2,0,0,0.133,300
80,A-60,Atlantic,False,459.0,1.5,2,2,2,0,0,0.123,300
81,A-62,Atlantic,True,596.4,1.5,4,4,4,0,0,0.13,600
82,A-62,Atlantic,True,1231.9,1.5,4,5,5,1,0,0.1265,750
83,A-62,Atlantic,True,1185.1,1.5,4,4,4,0,0,0.116,600
84,A-62,Atlantic,True,1694.5,1.5,4,6,6,2,0,0.1255,900
85,A-62,Atlantic,True,849.0,1.5,4,4,4,0,0,0.1255,600
86,A-62,Atlantic,True,561.6,1.5,4,4,4,0,0,0.129,600
87,A-62,Atlantic,True,1145.4,1.5,4,4,4,0,0,0.123,600
88,A-62,Atlantic,True,343.3,1.5,4,4,4,0,0,0.13,600
89,A-62,Atlantic,False,849.0,1.5,2,3,3,1,0,0.1185,450
90,A-62,Atlantic,True,229.2,1.5,4,4,4,0,0,0.139,600
91,A-63,Atlantic,False,520.3,1.5,2,2,2,0,0,0.13,300
92,A-63R,Atlantic,False,245.9,1.5,2,2,2,0,0,0.1295,300
93,A-64,Atlantic,True,1085.1,1.5,4,4,4,0,0,0.1325,600
94,A-65,Atlantic,True,341.9,1.5,4,4,4,0,0,0.141,600
95,A-66,Atlantic,True,2245.8,1.5,5,8,9,3,1,0.1425,1200
96,A-66,Atlantic,True,1875.2,1.5,5,7,7,2,0,0.1295,1050
97,A-66,Atlantic,True,1083.5,1.5,4,4,4,0,0,0.1205,600
98,A-66,Atlantic,True,780.1,1.5,4,4,4,0,0,0.1155,600
99,A-66,Atlantic,False,580.0,1.5,2,2,2,0,0,0.11,300
100,A-66,Atlantic,True,469.6,1.5,4,4,4,0,0,0.1315,600
101,A-66,Atlantic,True,479.6,1.5,4,4,4,0,0,0.1185,600
102,A-66,Atlantic,True,580.0,1.5,4,4,4,0,0,0.1325,600
103,A-66,Atlantic,True,285.2,1.5,4,4,4,0,0,0.115,600
104,A-66,Atlantic,True,306.6,1.5,4,4,4,0,0,0.1095,600
105,A-66,Atlantic,True,339.6,1.5,4,4,4,0,0,0.1235,600
106,A-66,Atlantic,True,924.0,1.5,4,4,4,0,0,0.1245,600
107,A-66,Atlantic,True,471.5,1.5,4,4,4,0,0,0.1345,600
108,A-66,Atlantic,True,526.2,1.5,4,4,4,0,0,0.1355,600
109,A-66,Atlantic,True,491.1,1.5,4,4,4,0,0,0.1215,600
110,A-66,Atlantic,True,716.1,1.5,4,4,4,0,0,0.1215,600
111,A-66,Atlantic,True,633.8,1.5,4,4,4,0,0,0.1175,600
112,A-66,Atlantic,True,1192.2,1.5,4,4,5,0,1,0.134,600
113,A-67,Atlantic,True,731.3,1.5,4,4,4,0,0,0.122,600
114,A-67,Atlantic,False,315.4,1.5,2,2,2,0,0,0.1305,300
115,A-67,Atlantic,True,780.9,1.5,4,4,4,0,0,0.1275,600
116,A-67,Atlantic,True,2254.6,1.5,6,8,8,2,0,0.123,1200
117,A-67,Atlantic,False,756.1,1.5,2,3,3,1,0,0.1235,450
118,A-68,Atlantic,False,1115.2,1.5,3,4,5,1,1,0.1365,600
119,A-68,Atlantic,False,838.9,1.5,2,3,3,1,0,0.127,450
120,A-68,Atlantic,False,1115.2,1.5,3,4,4,1,0,0.1125,600
121,A-68,Atlantic,False,2051.6,1.5,5,7,8,2,1,0.13,1050
122,A-68,Atlantic,False,1362.9,1.5,4,5,5,1,0,0.1185,750
123,A-68,Atlantic,False,1104.5,1.5,3,4,4,1,0,0.1225,600
124,A-7,Mediterranean,False,1399.7,2.5,4,8,9,4,1,0.1305,1200
125,A-7,Mediterranean,False,1852.2,2.5,5,11,11,6,0,0.1265,1650
126,A-7,Mediterranean,True,3565.9,2.5,8,12,12,4,0,0.1275,1800
127,A-7,Mediterranean,True,2875.4,2.5,7,12,12,5,0,0.125,1800
128,A-7,Mediterranean,True,3200.2,2.5,8,12,12,4,0,0.121,1800
129,A-7,Mediterranean,True,2574.5,2.5,6,12,12,6,0,0.1405,1800
130,A-7,Mediterranean,False,852.9,2.5,2,5,6,3,1,0.1285,750
131,A-7,Mediterranean,False,1852.2,2.5,5,11,11,6,0,0.1205,1650
132,A-7,Mediterranean,True,105.0,2.5,4,4,4,0,0,0.136,600
133,A-7,Mediterranean,True,2266.0,2.5,6,12,12,6,0,0.133,1800
134,A-7,Mediterranean,True,2063.4,2.5,5,12,12,7,0,0.1215,1800
135,A-7,Mediterranean,True,1641.0,2.5,4,10,11,6,1,0.1345,1500
136,A-7,Mediterranean,True,615.0,2.5,4,4,4,0,0,0.1345,600
137,A-7,Mediterranean,False,1387.2,2.5,4,8,8,4,0,0.116,1200
138,A-70,Mediterranean,True,3236.0,2.5,8,12,12,4,0,0.1275,1800
139,A-70,Mediterranean,True,2941.6,2.5,7,12,12,5,0,0.123,1800
140,A-70,Mediterranean,True,2371.6,2.5,6,12,12,6,0,0.125,1800
141,A-73,Mediterranean,True,221.8,2.5,4,4,4,0,0,0.1215,600
142,A-73,Mediterranean,False,221.8,2.5,2,2,2,0,0,0.1305,300
143,A-73R,Mediterranean,False,133.8,2.5,2,2,2,0,0,0.1275,300
144,A-75,Mediterranean,True,148.0,2.5,4,4,4,0,0,0.139,600
145,A-75,Mediterranean,True,148.0,2.5,4,4,4,0,0,0.1255,600
146,A-77,Mediterranean,False,822.6,2.5,2,5,5,3,0,0.125,750
147,A-77A,Mediterranean,False,1456.3,2.5,4,9,10,5,1,0.14,1350
148,A-79,Mediterranean,False,424.6,2.5,2,3,3,1,0,0.1305,450
149,A-8,Atlantic,True,844.2,1.5,4,4,4,0,0,0.1095,600
150,A-8,Atlantic,False,844.2,1.5,2,3,3,1,0,0.12,450
151,A-8,Atlantic,True,844.2,1.5,4,4,4,0,0,0.1265,600
152,A-8,Atlantic,True,1566.9,1.5,4,6,6,2,0,0.121,900
153,A-8,Atlantic,True,894.2,1.5,4,4,4,0,0,0.1365,600
154,A-8,Atlantic,True,1842.2,1.5,5,7,7,2,0,0.129,1050
155,A-8,Atlantic,True,1195.9,1.5,4,4,5,0,1,0.129,600
156,A-8,Atlantic,True,499.4,1.5,4,4,4,0,0,0.121,600
157,A-8,Atlantic,True,667.1,1.5,4,4,4,0,0,0.1425,600
158,A-8,Atlantic,True,885.2,1.5,4,4,4,0,0,0.116,600
159,AP-7R,Mediterranean,False,1234.0,2.5,3,7,9,4,2,0.143,1050
160,AP-9,Atlantic,True,1281.3,1.5,4,5,5,1,0,0.115,750
161,AP-9,Atlantic,True,949.8,1.5,4,4,4,0,0,0.12,600
162,AP-9,Atlantic,True,689.1,1.5,4,4,4,0,0,0.115,600
163,AP-9,Atlantic,True,1141.9,1.5,4,4,4,0,0,0.125,600
164,AP-9,Atlantic,True,1818.7,1.5,5,7,6,2,-1,0.1165,1050
165,AP-9,Atlantic,True,940.8,1.5,4,4,4,0,0,0.137,600
166,AP-9,Atlantic,False,270.5,1.5,2,2,2,0,0,0.113,300
167,AP-9F,Atlantic,True,829.8,1.5,4,4,4,0,0,0.119,600
168,AP-9V,Atlantic,False,2196.6,1.5,5,8,8,3,0,0.1235,1200
169,N-1,Standard,False,183.4,1.0,2,2,2,0,0,0.152,300
170,N-1,Standard,False,107.6,1.0,2,2,2,0,0,0.1345,300
171,N-1,Standard,False,107.6,1.0,2,2,2,0,0,0.129,300
172,N-1,Standard,False,107.6,1.0,2,2,2,0,0,0.127,300
173,N-1,Standard,False,139.5,1.0,2,2,2,0,0,0.124,300
174,N-1,Standard,False,107.6,1.0,2,2,2,0,0,0.1145,300
175,N-1,Standard,False,21.3,1.0,2,2,2,0,0,0.134,300
176,N-1,Standard,False,107.6,1.0,2,2,2,0,0,0.1165,300
177,N-110,Standard,False,57.4,1.0,2,2,2,0,0,0.1285,300
178,N-110,Standard,False,150.9,1.0,2,2,2,0,0,0.119,300
179,N-110,Standard,False,85.2,1.0,2,2,2,0,0,0.1255,300
180,N-110,Standard,False,136.6,1.0,2,2,2,0,0,0.1375,300
181,N-110,Standard,False,250.7,1.0,2,2,2,0,0,0.1245,300
182,N-110,Standard,False,165.2,1.0,2,2,2,0,0,0.1235,300
183,N-110,Standard,False,172.4,1.0,2,2,2,0,0,0.1165,300
184,N-110A,Standard,False,54.0,1.0,2,2,2,0,0,0.1245,300
185,N-110A,Standard,False,1.8,1.0,2,2,2,0,0,0.1245,300
186,N-110A,Standard,False,6.8,1.0,2,2,2,0,0,0.145,300
187,N-110A,Standard,False,6.3,1.0,2,2,2,0,0,0.1255,300
188,N-110A,Standard,False,0.4,1.0,2,2,2,0,0,0.1215,300
189,N-110A,Standard,False,6.3,1.0,2,2,2,0,0,0.121,300
190,N-111,Standard,False,189.0,1.0,2,2,2,0,0,0.1265,300
191,N-111,Standard,False,13.8,1.0,2,2,2,0,0,0.13,300
192,N-111,Standard,False,10.4,1.0,2,2,2,0,0,0.13,300
193,N-111,Standard,False,288.4,1.0,2,2,2,0,0,0.131,300
194,N-111,Standard,False,189.0,1.0,2,2,2,0,0,0.123,300
195,N-111,Standard,False,946.2,1.0,3,3,3,0,0,0.125,450
196,N-111A,Standard,False,1.2,1.0,2,2,2,0,0,0.1185,300
197,N-111R,Standard,False,8.5,1.0,2,2,2,0,0,0.121,300
198,N-113,Standard,True,223.9,1.0,4,4,4,0,0,0.1295,600
199,N-113,Standard,False,184.2,1.0,2,2,2,0,0,0.127,300
200,N-113,Standard,True,184.2,1.0,4,4,4,0,0,0.122,600
201,N-113,Standard,True,144.5,1.0,4,4,4,0,0,0.121,600
202,N-113,Standard,True,184.2,1.0,4,4,4,0,0,0.134,600
203,N-120,Standard,False,108.4,1.0,2,2,2,0,0,0.1165,300
204,N-120,Standard,False,75.7,1.0,2,2,2,0,0,0.1305,300
205,N-120,Standard,False,201.4,1.0,2,2,2,0,0,0.116,300
206,N-120,Standard,False,203.6,1.0,2,2,2,0,0,0.1185,300
207,N-120,Standard,False,84.2,1.0,2,2,2,0,0,0.123,300
208,N-120,Standard,False,16.1,1.0,2,2,2,0,0,0.128,300
209,N-120,Standard,False,203.6,1.0,2,2,2,0,0,0.1265,300
210,N-120,Standard,True,203.6,1.0,4,4,4,0,0,0.1195,600
211,N-120,Standard,True,527.6,1.0,4,4,4,0,0,0.12,600
