location_id,latitude,longitude,route_segment,n_chargers_proposed,grid_status,distributor_network,source,connection_distance_km,available_capacity_mw,is_tent,tent_tier,nearest_substation_id,estimated_demand_kw,fixed_cost_eur,candidate_id
STAV2_0034,41.261421850666,-2.1823905085574546,N-2,4,Congested,Endesa,high_imd,12.90904696951849,0.0,True,none,ARIZA,600,300000.0,CAND_01734
STAV2_0035,42.230286,2.963316,N-2,4,Congested,Endesa,upgrade,1.359132526118251,0.0,True,none,S.LLOGAIA,600,50000.0,CAND_00660
STAV2_0036,40.82963388255695,-1.1793512410277849,N-211A,2,Congested,Endesa,high_imd,13.059856720398612,0.0,False,none,CALAMOCHA,300,300000.0,CAND_01750
STAV2_0037,40.33816,-1.10103,N-223,2,Congested,Endesa,upgrade,0.2731832520574974,0.0,False,none,EL_CERRO,300,50000.0,CAND_00683
STAV2_0038,40.515218633253646,0.25477454809516487,N-232,2,Congested,Endesa,high_imd,15.345488091692957,0.0,False,none,MONTSIA,300,500000.0,CAND_01766
STAV2_0039,40.51278154360412,0.11949525638417963,N-232A,2,Congested,Endesa,high_imd,24.400939317856142,0.0,False,none,MONTSIA,300,500000.0,CAND_01777
STAV2_0040,41.51486,-0.636486,N-232A,2,Congested,Endesa,upgrade,0.4759140563042688,0.0,False,none,FUENTES,300,50000.0,CAND_01251
STAV2_0041,40.36329,-1.145989,N-234,2,Congested,Endesa,upgrade,1.8471639300476974,0.0,False,none,PLATEA,300,50000.0,CAND_01268
STAV2_0042,41.266937,1.248363,N-240,4,Congested,Endesa,upgrade,3.0896694699987783,0.0,True,none,VALLS,600,50000.0,CAND_00649
STAV2_0043,42.03354,0.104773,N-240,4,Congested,Endesa,upgrade,3.045430559568207,0.0,True,none,BRILEN,600,50000.0,CAND_00219
STAV2_0044,42.141106164761325,-0.37414846926385814,N-240A,2,Congested,Endesa,high_imd,1.841467060510046,0.0,False,none,HUESCA_EST,300,200000.0,CAND_01795
STAV2_0045,42.611598157982804,-0.9099316615188695,N-240R,2,Congested,Endesa,high_imd,3.888630729008372,0.0,False,none,BERDUN,300,200000.0,CAND_01799
STAV2_0046,42.21382,2.208035,N-260,4,Sufficient,Endesa,upgrade,0.47816500652199356,63.94,True,none,RIPOLL,600,50000.0,CAND_01068
STAV2_0047,42.22225877077022,2.8059372173120174,N-260A,2,Congested,Endesa,high_imd,7.251814821897395,0.0,False,none,SERINYA,300,300000.0,CAND_01814
STAV2_0048,42.36297889991612,1.8048127877752609,N-260R,4,Congested,Endesa,high_imd,7.681429683995733,0.0,True,comprehensive,CERDANYA,600,300000.0,CAND_01816
STAV2_0049,41.510451117753426,0.2847233941544442,N-2A,2,Congested,Endesa,high_imd,3.091944554527646,0.0,False,none,FRAGA,300,200000.0,CAND_01818
STAV2_0050,41.32614333624359,-1.7917243633057707,N-2R,2,Congested,Endesa,high_imd,0.20004392319896697,0.0,False,none,ATECA,300,200000.0,CAND_01822
STAV2_0051,38.01387,-3.383437,N-322,4,Congested,Endesa,upgrade,1.196586420746577,0.0,True,none,UBEDA,600,50000.0,CAND_01297
STAV2_0052,38.154325597334164,-3.0167042152196246,N-322A,2,Congested,Endesa,high_imd,1.6722100123216415,0.0,False,none,VVAARZOB,300,200000.0,CAND_01857
STAV2_0053,36.837849928175594,-3.5184620855889177,N-323,4,Congested,Endesa,high_imd,0.3076295546652175,0.0,True,comprehensive,IZBOR,600,200000.0,CAND_01865
STAV2_0054,36.8933527729625,-3.509273037092431,N-323A,2,Congested,Endesa,high_imd,2.8566184583766057,0.0,False,none,TABLATE,300,200000.0,CAND_01870
STAV2_0055,37.285664,-3.675543,N-323A,2,Congested,Endesa,upgrade,4.901709358469554,0.0,False,none,CAPARACE,300,50000.0,CAND_00311
STAV2_0056,41.33516,-1.22134,N-330,4,Congested,Endesa,upgrade,1.845225962810197,0.0,True,none,CARIÑENA,600,50000.0,CAND_01031
STAV2_0057,42.22500668648688,-0.4413760665639473,N-330,4,Congested,Endesa,high_imd,6.801561812994561,0.0,True,none,SASO_PLANO,600,300000.0,CAND_01882
STAV2_0058,40.0965071207502,-1.2732937578811732,N-330A,2,Congested,Endesa,high_imd,17.773986990143342,0.0,False,none,VILLEL,300,500000.0,CAND_01885
STAV2_0059,42.327736846714345,-0.4089967092480236,N-330A,2,Congested,Endesa,high_imd,2.3791193862093674,0.0,False,none,MONREPOS,300,200000.0,CAND_01892
STAV2_0060,37.03285,-4.530882,N-331,2,Congested,Endesa,upgrade,3.585060450531222,0.0,False,none,ANTEQUER,300,50000.0,CAND_00625
STAV2_0061,37.57366,-4.650703,N-331,2,Congested,Endesa,upgrade,4.234047732264455,0.0,False,none,MONTILLA,300,50000.0,CAND_00762
STAV2_0062,37.462911129518645,-4.568680866101379,N-331R,2,Congested,Endesa,high_imd,6.4966732726001135,0.0,False,none,EGABRENS,300,300000.0,CAND_01900
STAV2_0063,36.2564658780221,-5.33780952331509,N-340,4,Congested,Endesa,high_imd,0.5502062515246356,0.0,True,none,LASMESAS,600,200000.0,CAND_01909
STAV2_0064,36.771137,-2.8267684,N-340A,4,Congested,Endesa,upgrade,1.0537070732692637,0.0,True,none,EJIDO,600,50000.0,CAND_00340
STAV2_0065,37.36955644396135,-1.9631231831505374,N-340A,4,Congested,Endesa,high_imd,0.4456934620330262,0.0,True,none,H_OVERA,600,200000.0,CAND_01927
STAV2_0066,36.966331380344336,-1.987998390136652,N-341,4,Congested,Endesa,high_imd,7.127853243470128,0.0,True,comprehensive,CARBONER,600,300000.0,CAND_01931
STAV2_0067,36.7515099152563,-6.070390358053221,N-346,4,Congested,Endesa,high_imd,3.0479207545583296,0.0,True,comprehensive,AGROALIM,600,200000.0,CAND_01939
