agent_id,origin,destination,departure_time_min,arrival_time_min,status,num_charge_stops,total_wait_min,total_charge_min,total_energy_charged_kwh,total_distance_km,route_node_count,initial_soc_kwh,final_soc_kwh,generalized_cost_eur
TRIP_19697,MAD,VLD,300.0271709464534,300.0271709464534,stranded,0,0.0,0.0,0.0,190.0,2,36.788765778102395,36.788765778102395,0.0
TRIP_45470,VIG,ACO,231.5281359722401,309.730519958273,completed,0,0.0,0.0,0.0,156.40476797206586,20,33.91358222412663,5.787551092190316,0.0
TRIP_36903,MUR,MAL,314.47273352794014,314.47273352794014,stranded,0,0.0,0.0,0.0,355.3814786779781,8,31.05805590482757,31.05805590482757,0.0
TRIP_37212,MUR,MAL,314.8996022413101,314.8996022413101,stranded,0,0.0,0.0,0.0,355.3814786779781,8,32.58816976570056,32.58816976570056,0.0
TRIP_19323,MAD,VLD,318.5262235780039,318.5262235780039,stranded,0,0.0,0.0,0.0,190.0,2,34.554371040137156,34.554371040137156,0.0
TRIP_34804,MUR,MAL,323.2870322074836,323.2870322074836,stranded,0,0.0,0.0,0.0,355.3814786779781,8,33.80595736119534,33.80595736119534,0.0
TRIP_20828,VLD,MAD,323.4770836744729,323.4770836744729,stranded,0,0.0,0.0,0.0,190.0,2,34.599452161728934,34.599452161728934,0.0
TRIP_45057,ACO,VIG,247.66591965254062,325.86830363857354,completed,0,0.0,0.0,0.0,156.40476797206586,20,48.60157915066878,20.089002215241873,0.0
TRIP_35721,MUR,MAL,326.7957680383923,326.7957680383923,stranded,0,0.0,0.0,0.0,355.3814786779781,8,36.79888181884311,36.79888181884311,0.0
TRIP_35115,MUR,MAL,329.9848246600951,329.9848246600951,stranded,0,0.0,0.0,0.0,355.3814786779781,8,35.13865312213426,35.13865312213426,0.0
TRIP_21142,VLD,MAD,330.74485562330193,330.74485562330193,stranded,0,0.0,0.0,0.0,190.0,2,37.63346899452375,37.63346899452375,0.0
TRIP_35189,MUR,MAL,331.89296744430305,331.89296744430305,stranded,0,0.0,0.0,0.0,355.3814786779781,8,37.74179222131288,37.74179222131288,0.0
TRIP_35463,MUR,MAL,332.1519245301361,332.1519245301361,stranded,0,0.0,0.0,0.0,355.3814786779781,8,35.02338232490569,35.02338232490569,0.0
TRIP_45243,ACO,VIG,254.0069991850803,332.20938317111325,completed,0,0.0,0.0,0.0,156.40476797206586,20,54.185029728675865,21.482967834776105,0.0
TRIP_20225,VLD,MAD,221.72456163833388,335.72456163833385,completed,0,0.0,0.0,0.0,190.0,2,34.32278967236638,6.218722992669022,0.0
TRIP_37434,MUR,MAL,338.5332682047073,338.5332682047073,stranded,0,0.0,0.0,0.0,355.3814786779781,8,35.40332123884532,35.40332123884532,0.0
TRIP_21160,VLD,MAD,339.2397575874276,339.2397575874276,stranded,0,0.0,0.0,0.0,190.0,2,42.36820938827742,42.36820938827742,0.0
TRIP_19615,MAD,VLD,339.3694077943709,339.3694077943709,stranded,0,0.0,0.0,0.0,190.0,2,42.16978474232556,42.16978474232556,0.0
TRIP_37993,MUR,MAL,340.43140505309935,340.43140505309935,stranded,0,0.0,0.0,0.0,355.3814786779781,8,38.2162650682599,38.2162650682599,0.0
TRIP_38057,MUR,MAL,342.45568446807783,342.45568446807783,stranded,0,0.0,0.0,0.0,355.3814786779781,8,35.16550051070089,35.16550051070089,0.0
TRIP_45482,VIG,ACO,264.290519296626,342.4929032826589,completed,0,0.0,0.0,0.0,156.40476797206586,20,47.56728272767997,17.810923027669936,0.0
TRIP_34705,MUR,MAL,345.0041716474344,345.0041716474344,stranded,0,0.0,0.0,0.0,355.3814786779781,8,34.34056677106221,34.34056677106221,0.0
TRIP_21649,MAD,BUR,220.5562921740265,345.47848766797114,completed,1,0.0,4.441963632499482,18.508181802081175,240.96046372289027,11,46.64873766677081,15.021066471140237,0.0
TRIP_35619,MUR,MAL,348.23881299055483,348.23881299055483,stranded,0,0.0,0.0,0.0,355.3814786779781,8,35.747397937244315,35.747397937244315,0.0
TRIP_45711,VIG,ACO,270.34441878700045,348.5468027730334,completed,0,0.0,0.0,0.0,156.40476797206586,20,54.77630663997446,20.338491789284703,0.0
TRIP_18554,MAL,COR,237.70352819272077,349.69649251783574,completed,0,0.0,0.0,0.0,186.65494054185825,15,50.67516378193255,21.461063690008686,0.0
TRIP_35393,MUR,MAL,349.8765590559701,349.8765590559701,stranded,0,0.0,0.0,0.0,355.3814786779781,8,36.83317179146858,36.83317179146858,0.0
TRIP_45774,VIG,ACO,275.0948910670141,353.29727505304703,completed,0,0.0,0.0,0.0,156.40476797206586,20,50.54401693263477,18.18866557566706,0.0
TRIP_23748,SEV,VLD,353.7014394807346,353.7014394807346,stranded,0,0.0,0.0,0.0,595.0,8,17.39074977000591,17.39074977000591,0.0
TRIP_37310,MUR,MAL,354.09923858847327,354.09923858847327,stranded,0,0.0,0.0,0.0,355.3814786779781,8,35.97860169229544,35.97860169229544,0.0
