hour,num_sessions,energy_kwh
0,2017,49729.4
1,1004,25643.6
2,564,15802.7
3,336,9627.1
4,260,7432.5
5,314,8422.4
6,611,16726.6
7,1359,37298.6
8,2491,65046.5
9,3832,100007.0
10,5136,136012.8
11,5852,155266.9
12,5850,151441.5
13,4860,123399.8
14,3829,98674.7
15,3169,81824.2
16,3285,86354.2
17,4368,116148.0
18,5323,140152.6
19,6119,159396.3
20,6347,164576.2
21,5974,154983.0
22,4872,125946.3
23,3602,90926.2
