hour,num_sessions,energy_kwh
0,1604,43657.7
1,1002,27668.3
2,574,16166.9
3,300,8632.0
4,182,5459.4
5,168,4914.8
6,360,9924.1
7,781,22547.5
8,1285,36358.6
9,2135,60991.4
10,2879,82494.9
11,3482,98579.0
12,3454,96137.4
13,3118,85138.6
14,2628,72884.4
15,2261,63136.7
16,2242,62618.1
17,2563,71635.9
18,3098,86809.7
19,3654,101928.0
20,3726,103984.2
21,3692,100986.6
22,3134,86317.7
23,2459,67362.1
