hour,num_sessions,energy_kwh
0,1803,51879.2
1,1134,31880.4
2,599,17065.3
3,350,10348.2
4,176,5349.2
5,138,3967.4
6,294,8470.2
7,694,21115.4
8,1205,36340.3
9,2058,63054.1
10,3056,93136.5
11,3698,112350.2
12,3793,112222.8
13,3485,99314.1
14,2977,83095.1
15,2374,68424.4
16,2302,67787.8
17,2709,80923.0
18,3253,97146.2
19,3952,116495.7
20,4148,123925.1
21,4058,119968.0
22,3511,103294.8
23,2664,77612.9
