agent_id,station_id,node_id,sim_time_min,wait_time_min,charge_time_min,energy_kwh,soc_before_kwh,soc_after_kwh,price_per_kwh
TRIP_08964,EC_AP-68_07,AP-68_EC07,316.216850608887,0.0,8.008530633229235,33.368877638455146,21.041185036768432,54.41006267522358,0.4
TRIP_04504,EC_AP-1_08,AP-1_EC08,318.0635991224158,0.0,1.93100425955592,8.045851081483,46.73315248657858,54.77900356806158,0.4
TRIP_09381,EC_A-7S_03,A-7S_EC03,328.2145605143157,0.0,6.401631541038862,26.67346475432859,28.82695740241634,55.50042215674493,0.4
TRIP_02653,EC_A-3_11,A-3_EC11,334.93018253263534,0.0,2.9512087383448264,9.583247926935115,58.666752073064885,68.25,0.4
TRIP_04323,EC_AP-1_07,AP-1_EC07,336.79697055896855,0.0,5.132097877069188,11.547220223405674,32.86912098389169,44.416341207297364,0.4
TRIP_09649,EC_A-7S_07,A-7S_EC07,337.01783230236214,0.0,14.021254329175108,31.466689150533192,31.759537718102813,63.226226868636004,0.4
TRIP_01570,EC_AP-2_12,AP-2_EC12,341.78724234360834,0.0,12.483053624772104,19.353476471394366,25.646523528605634,45.0,0.4
TRIP_02994,EC_AP-4_05,AP-4_EC05,344.5747933721409,0.0,18.253500647950265,34.619904521706985,23.88009547829302,58.5,0.4
TRIP_05743,EC_AP-2_12,AP-2_EC12,351.352229132524,0.0,4.483507612229833,8.98087260057929,36.91912739942071,45.9,0.4
TRIP_06844,EC_AP-46_00,AP-46_EC00,352.3043398046478,0.0,21.801980356928247,15.594070388764408,37.76592961123559,53.36,0.4
TRIP_04391,EC_AP-1_07,AP-1_EC07,352.52982640797046,0.0,5.951960364756961,20.335864579586286,41.30860686811388,61.64447144770016,0.4
TRIP_00137,EC_AP-1_07,AP-1_EC07,353.52083183925873,0.0,3.643904325843443,12.469479541512683,55.78052045848732,68.25,0.4
TRIP_08455,EC_AP-1_07,AP-1_EC07,353.63084836646505,0.0,6.942245849760451,12.378518975850838,42.821481024149165,55.2,0.4
TRIP_05697,EC_AP-2_12,AP-2_EC12,353.74357622807463,0.0,11.745424960298154,44.26824469169095,23.981755308309047,68.25,0.4
TRIP_00451,EC_AP-1_14,AP-1_EC14,353.7706094419818,0.0,11.729507052973826,25.51078527414323,32.08921472585677,57.6,0.4
TRIP_03117,EC_AP-4_05,AP-4_EC05,353.9374237301133,0.0,5.576412021048133,10.448521731743682,42.33147826825632,52.78,0.4
TRIP_03182,EC_AP-4_05,AP-4_EC05,354.6092548179227,0.0,11.216598662439885,40.77197751898651,29.298022481013497,70.07000000000001,0.4
TRIP_00844,EC_AP-2_05,AP-2_EC05,356.2591999246755,0.0,11.70575836578693,21.52441995738031,36.97558004261969,58.5,0.4
TRIP_02960,EC_AP-4_05,AP-4_EC05,358.13494122134506,0.0,12.920164865140547,26.971965630951612,25.80803436904839,52.78,0.4
TRIP_09682,EC_A-7S_07,A-7S_EC07,359.70255220347957,0.0,9.201743645409584,38.340598522539935,15.9235322829641,54.26413080550403,0.4
TRIP_04396,EC_AP-1_07,AP-1_EC07,359.8060248962732,0.0,6.767198269778998,15.226196107002746,28.46733644578531,43.69353255278806,0.4
TRIP_02016,EC_A-23_04,A-23_EC04,360.80196909770245,0.0,25.57848158156834,25.57848158156834,26.339059280468263,51.9175408620366,0.4
TRIP_02106,EC_A-23_04,A-23_EC04,361.878017228338,0.0,14.993585092208896,14.993585092208896,39.613350704577016,54.60693579678591,0.4
TRIP_05287,EC_AP-68_06,AP-68_EC06,362.4161139314828,0.0,14.605776866696601,32.86299795006735,24.284886100769082,57.14788405083643,0.4
TRIP_04590,EC_AP-1_08,AP-1_EC08,364.2423047306839,0.0,1.3169184317927807,3.072809674183155,43.019155407540865,46.09196508172402,0.4
TRIP_03377,EC_AP-4_11,AP-4_EC11,365.2724330889156,0.0,23.181418066633576,55.240090017082274,13.009909982917726,68.25,0.4
TRIP_04561,EC_AP-1_08,AP-1_EC08,366.239664851582,0.0,3.1055013405426575,6.98737801622098,48.49499229792413,55.48237031414511,0.4
TRIP_05705,EC_AP-2_12,AP-2_EC12,367.32337745582424,0.0,5.649587980516037,9.577760259154608,45.622239740845394,55.2,0.4
TRIP_00266,EC_AP-1_07,AP-1_EC07,370.6139257275441,0.0,3.7843973954627907,13.0548673315933,55.1951326684067,68.25,0.4
TRIP_00789,EC_AP-2_05,AP-2_EC05,370.6903107712967,0.0,15.247442134805066,28.607787495416584,29.892212504583416,58.5,0.4
TRIP_01254,EC_AP-2_05,AP-2_EC05,371.48477312858586,0.0,6.152312895435118,10.417529016676689,48.08247098332331,58.5,0.4
TRIP_02913,EC_AP-4_05,AP-4_EC05,373.70333549127696,0.0,6.297895688292007,23.527776885048368,44.72222311495163,68.25,0.4
TRIP_02014,EC_A-23_04,A-23_EC04,374.15627511123785,0.0,24.106950270327552,24.106950270327552,27.116700948858657,51.22365121918621,0.4
TRIP_00996,EC_AP-2_05,AP-2_EC05,375.47284145338074,0.0,13.943343743138914,28.586709468574178,41.48329053142583,70.07000000000001,0.4
TRIP_01202,EC_AP-2_05,AP-2_EC05,375.5097422765691,0.0,18.51156011834972,35.1360234625059,23.363976537494104,58.5,0.4
TRIP_02628,EC_A-3_11,A-3_EC11,376.72839107759125,0.0,12.1335268769657,23.882901226597482,46.95709877340252,70.84,0.4
TRIP_06133,EC_AP-7_15,AP-7_EC15,377.08540031119094,0.0,14.38261648490148,32.0787933034798,13.821206696520203,45.9,0.4
TRIP_00346,EC_AP-1_07,AP-1_EC07,377.1957853887565,0.0,16.414655730090356,36.4427988540818,21.1572011459182,57.6,0.4
TRIP_06536,EC_AP-46_00,AP-46_EC00,377.98459746943803,0.0,32.94490553821287,24.740632799009063,43.50936720099094,68.25,0.4
TRIP_02945,EC_AP-4_05,AP-4_EC05,379.6263315110508,0.0,6.970513938362254,10.16591032737795,34.83408967262205,45.0,0.4
TRIP_05511,EC_AP-2_12,AP-2_EC12,379.85665817829425,0.0,5.0506470572643485,8.78970930350232,44.57029069649768,53.36,0.4
TRIP_00410,EC_AP-1_14,AP-1_EC14,379.9138251730584,0.0,17.989732838343766,36.31474078444802,18.885259215551983,55.2,0.4
TRIP_02535,EC_A-3_05,A-3_EC05,380.8368886894079,0.0,14.987203876732032,34.75455454232842,33.49544545767158,68.25,0.4
TRIP_01112,EC_AP-2_05,AP-2_EC05,381.0983419803285,0.0,14.191456450725678,28.08514194460883,27.114858055391174,55.2,0.4
TRIP_00183,EC_AP-1_07,AP-1_EC07,382.3553643857948,0.0,17.657374426585264,27.9773444744163,17.0226555255837,45.0,0.4
TRIP_00972,EC_AP-2_05,AP-2_EC05,382.68718517056897,0.0,3.718630151270774,7.196158525008151,38.70384147499185,45.9,0.4
TRIP_05779,EC_AP-2_12,AP-2_EC12,382.76926315328484,0.0,4.128113977816972,8.15162078694928,37.74837921305072,45.9,0.4
TRIP_02919,EC_AP-4_05,AP-4_EC05,384.1797455936549,0.0,12.575881584348055,23.264666394502562,35.23533360549744,58.5,0.4
TRIP_01567,EC_AP-2_11,AP-2_EC11,384.3998841088351,0.0,11.754229943335321,25.94589137315876,19.95410862684124,45.9,0.4
TRIP_01346,EC_AP-2_05,AP-2_EC05,385.6928648146171,0.0,16.02815024562591,32.64580380608295,38.19419619391705,70.84,0.4
TRIP_08501,EC_AP-1_07,AP-1_EC07,385.89591732746135,0.0,8.077216222002297,14.267335669811047,44.23266433018895,58.5,0.4
TRIP_04585,EC_AP-1_08,AP-1_EC08,385.99036308716796,0.0,2.726681572208165,9.316162038377897,52.382443326370876,61.69860536474877,0.4
TRIP_02706,EC_A-3_11,A-3_EC11,387.1786492442827,0.0,4.889451248200144,7.89180572220674,50.60819427779326,58.5,0.4
TRIP_00304,EC_AP-1_05,AP-1_EC05,388.5839883097869,0.0,22.748227657877578,48.00793039988244,22.54925602361909,70.55718642350153,0.4
TRIP_00417,EC_AP-1_14,AP-1_EC14,390.24015427629814,0.0,19.21296775083614,30.570000014834427,14.429999985165571,45.0,0.4
TRIP_04547,EC_AP-1_08,AP-1_EC08,391.0345231790358,0.0,4.188242844807391,17.45101185336413,38.77531095738407,56.2263228107482,0.4
TRIP_01268,EC_AP-2_05,AP-2_EC05,392.9636648599841,0.0,11.925693532927003,23.175988956045032,32.02401104395497,55.2,0.4
TRIP_01676,EC_AP-2_11,AP-2_EC11,393.269363874394,0.0,11.634046956569403,25.665464404038282,20.234535595961717,45.9,0.4
TRIP_06538,EC_AP-46_00,AP-46_EC00,393.8401313240969,0.0,22.73856376180635,18.829905416583564,44.72868395551533,63.55858937209889,0.4
TRIP_07780,EC_A-8_11,A-8_EC11,394.3760256550569,0.0,12.588394232953062,25.176788465906125,17.920565927887854,43.09735439379398,0.4
TRIP_00725,EC_AP-1_14,AP-1_EC14,394.4298550238369,0.0,10.052859455086594,21.976026900578397,23.9239730994216,45.9,0.4
TRIP_03254,EC_AP-4_11,AP-4_EC11,396.8471387043901,0.0,16.754293956871624,39.1722797426774,29.077720257322603,68.25,0.4
TRIP_00668,EC_AP-1_14,AP-1_EC14,397.3491899588708,0.0,20.732441587259743,44.075061645571324,25.709820912204993,69.78488255777631,0.4
TRIP_08442,EC_AP-1_07,AP-1_EC07,398.6218174064436,0.0,21.356978423316903,46.157720311700885,22.604150021404063,68.76187033310495,0.4
TRIP_00957,EC_AP-2_05,AP-2_EC05,399.63007622781413,0.0,10.54781150943866,21.158329320894524,32.201670679105476,53.36,0.4
TRIP_08502,EC_AP-1_07,AP-1_EC07,400.40170775031794,0.0,3.554534706053034,12.097106125719314,56.152893874280686,68.25,0.4
TRIP_02834,EC_A-3_11,A-3_EC11,400.7897818164995,0.0,4.1727618755873985,6.792901037248392,46.56709896275161,53.36,0.4
