location_id,latitude,longitude,route_segment,n_chargers_proposed,grid_status
STAV2_0097,43.522278,-5.715472,A-8,4,Congested
STAV2_0098,42.681726,-8.634557,AP-9,4,Congested
STAV2_0099,42.93182,-7.634305,N-540,2,Sufficient
STAV2_0100,43.172718,-7.766572,N-6,3,Sufficient
STAV2_0101,42.86685,-4.154992,N-611,2,Congested
STAV2_0102,42.95059732929247,-4.138150466428296,N-611A,2,Congested
STAV2_0103,43.35523134018538,-4.526377657274634,N-621A,2,Moderate
STAV2_0104,43.35925,-3.924742,N-623,4,Congested
STAV2_0105,43.26092229412246,-3.4662534902575746,N-629,2,Congested
STAV2_0106,43.2832094808891,-3.434277871725404,N-629A,2,Congested
STAV2_0107,43.106342,-5.817404,N-630,2,Congested
STAV2_0108,43.55027330890117,-6.322672594057074,N-632A,4,Sufficient
STAV2_0109,43.294167,-7.670673,N-634,4,Sufficient
STAV2_0110,43.33842,-5.98234,N-634,4,Moderate
STAV2_0111,43.410353309875866,-3.608658254794529,N-634,4,Congested
STAV2_0112,43.561874,-6.923124,N-634,4,Sufficient
STAV2_0113,43.42935,-3.838126,N-636,4,Moderate
STAV2_0114,43.025753,-7.567155,N-640,2,Sufficient
STAV2_0115,42.340267,-3.6953535,A-1,4,Congested
STAV2_0116,42.863613,-2.660541,A-1,4,Congested
STAV2_0117,41.53517866822434,-5.774164255544914,A-11,4,Sufficient
STAV2_0118,41.596442942233466,-3.3546181072164334,A-11,4,Congested
STAV2_0119,42.42743156744022,-2.7450586933933154,A-12,2,Congested
STAV2_0120,43.259827,-1.966318,A-15,4,Congested
STAV2_0121,39.848877,-0.5021599,A-23,4,Sufficient
STAV2_0122,39.46963,-0.7078082,A-3,4,Congested
STAV2_0123,39.946594,-2.8946514,A-3,7,Congested
STAV2_0124,37.885376,-1.136602,A-30,12,Congested
STAV2_0125,38.93846045856489,-1.8916543648034796,A-32,4,Congested
STAV2_0126,38.60982111550539,-1.0430535791923565,A-33,3,Sufficient
STAV2_0127,38.87854,-0.754148,A-35,5,Sufficient
STAV2_0128,39.28310316661452,-0.40327591696705783,A-38,7,Sufficient
