hour,num_sessions,energy_kwh
0,306,6514.9
1,178,3183.1
2,129,1985.2
3,95,895.7
4,81,500.3
5,96,827.5
6,159,2560.4
7,302,6304.0
8,487,11545.8
9,816,20525.7
10,1003,26094.8
11,1041,26779.7
12,889,22539.1
13,725,18300.4
14,611,14136.7
15,590,13479.7
16,668,16019.7
17,887,20947.2
18,996,24008.6
19,1115,28229.8
20,1152,28509.4
21,953,23220.4
22,837,19953.1
23,568,12281.8
