hour,num_sessions,energy_kwh
0,1029,26268.0
1,512,13496.2
2,231,5886.3
3,131,3452.0
4,102,2580.3
5,155,3693.7
6,344,9291.6
7,819,22824.4
8,1420,37568.3
9,2283,62344.9
10,3098,84688.0
11,3430,93278.4
12,3312,87638.9
13,2688,70600.5
14,1986,51864.8
15,1779,46444.7
16,1915,51638.0
17,2414,64929.5
18,3135,84520.9
19,3452,93595.6
20,3551,96181.7
21,3311,89483.4
22,2659,71231.2
23,1831,48286.5
