hour,num_sessions,energy_kwh
0,1567,41837.6
1,1040,27710.0
2,592,16226.8
3,362,10254.2
4,258,7118.3
5,223,6206.7
6,433,11570.9
7,856,24229.1
8,1353,37701.0
9,2187,61731.3
10,2941,83094.5
11,3510,98554.9
12,3481,95429.4
13,3120,84048.9
14,2654,71691.9
15,2265,61808.8
16,2270,62312.8
17,2552,70763.7
18,3071,85495.9
19,3611,99628.9
20,3688,102016.2
21,3614,98676.4
22,3097,83989.4
23,2400,64376.4
