hour,num_sessions,energy_kwh
0,1797,52020.0
1,1153,32128.2
2,605,17125.0
3,347,10255.6
4,180,5430.9
5,132,3785.1
6,292,8511.3
7,695,21131.5
8,1208,36440.2
9,2060,63078.2
10,3055,93185.9
11,3698,112254.6
12,3791,112288.1
13,3499,99649.0
14,2960,82516.2
15,2369,68338.9
16,2302,68204.6
17,2676,79691.9
18,3236,96760.4
19,3967,116984.1
20,4143,123541.3
21,4061,120085.2
22,3511,103160.5
23,2648,77257.1
