hour,num_sessions,energy_kwh
0,1077,27624.5
1,646,16660.3
2,411,11111.1
3,249,6847.3
4,185,4998.4
5,168,4789.4
6,349,9300.7
7,682,19081.0
8,1032,28139.7
9,1645,45816.3
10,2132,58750.1
11,2396,66086.0
12,2338,63419.2
13,2082,54689.3
14,1776,46619.2
15,1531,40175.5
16,1565,42167.9
17,1846,50836.5
18,2184,59703.0
19,2542,69621.2
20,2537,69354.0
21,2432,65804.0
22,2115,56498.1
23,1663,43772.1
