hour,num_sessions,energy_kwh
0,1631,42651.1
1,864,22792.5
2,432,11107.5
3,196,5195.4
4,114,2953.6
5,165,3908.6
6,378,10277.1
7,910,25772.6
8,1525,41710.7
9,2552,71264.2
10,3476,97992.9
11,4032,113246.1
12,3980,108960.4
13,3473,93499.3
14,2748,73321.1
15,2382,63986.4
16,2390,65888.9
17,2892,78988.2
18,3606,99414.8
19,4072,114479.6
20,4416,122792.1
21,4167,113976.6
22,3412,92616.4
23,2554,68737.2
