hour,num_sessions,energy_kwh
0,1764,46552.6
1,1001,26877.1
2,492,12694.5
3,231,6249.9
4,112,2844.6
5,138,3423.2
6,336,9373.1
7,844,24261.9
8,1474,40457.6
9,2467,69759.3
10,3356,95729.1
11,3949,111608.1
12,3967,109113.9
13,3623,98228.2
14,2926,78393.5
15,2489,66942.5
16,2421,66948.1
17,2881,79041.6
18,3528,98403.2
19,3990,112864.3
20,4272,119887.1
21,4148,114799.7
22,3564,97310.1
23,2699,73244.2
