od_pair,total,completed,avg_wait_min,avg_charge_stops,completion_rate_pct
ZAR→LLE,18,18,3.501275946979623,1.0555555555555556,100.0
JER→COR,18,18,0.0,1.2222222222222223,100.0
BCN→CAS,18,18,0.0,2.0,100.0
GUA→CUE,18,18,0.0,0.7222222222222222,100.0
CAR→ALB,17,17,0.0,1.1764705882352942,100.0
PON→LUG,17,17,0.0,1.1764705882352942,100.0
LUG→ACO,17,17,0.0,0.8235294117647058,100.0
SSB→PMP,17,17,0.0,0.5294117647058824,100.0
CRE→COR,17,17,0.0,0.8235294117647058,100.0
GUA→ZAR,17,17,0.0,1.7058823529411764,100.0
MUR→ALG,17,17,0.0,3.0588235294117645,100.0
CAR→ALI,16,16,0.0,1.0,100.0
SEG→AVL,16,16,0.0,0.625,100.0
VAL→CAS,16,16,0.0,0.625,100.0
LLE→BCN,16,16,0.0,1.5,100.0
ALG→MUR,15,15,0.0,2.933333333333333,100.0
ZAR→TAR,15,15,2.4335748850466037,1.4666666666666666,100.0
ALM→SEV,15,15,0.0,2.2,100.0
COR→JER,15,15,0.0,1.3333333333333333,100.0
SOR→VLD,15,13,391.94715349566985,0.8666666666666667,86.7
STD→BUR,15,15,0.0,0.8666666666666667,100.0
PON→LEO,15,15,0.0,0.8,100.0
MAD→GIJ,15,15,0.0,2.7333333333333334,100.0
ALI→CAR,15,15,0.0,0.9333333333333333,100.0
SCQ→OUR,15,15,0.0,0.6,100.0
GIR→TAR,15,15,1.7590805502522775,1.0666666666666667,100.0
TAR→CAS,15,15,0.0,1.1333333333333333,100.0
ZAR→VIT,15,15,0.0,2.2666666666666666,100.0
HUS→LLE,15,15,0.0,0.6666666666666666,100.0
VLD→ZAM,15,15,0.0,0.6,100.0
MAD→MAL,15,15,0.8917792813440276,3.2,100.0
MAD→TAL,14,14,0.0,0.9285714285714286,100.0
COR→CDZ,14,14,0.0,1.7142857142857142,100.0
CAR→MAD,14,14,0.0,2.7142857142857144,100.0
GRN→MAD,14,14,0.0,2.0,100.0
COR→CRE,14,14,0.0,0.8571428571428571,100.0
ALI→VAL,14,14,0.0,0.9285714285714286,100.0
BUR→STD,14,14,0.0,0.8571428571428571,100.0
VAL→ALI,14,14,0.0,0.7857142857142857,100.0
SEV→CRE,14,14,0.0,2.2142857142857144,100.0
MAL→MAD,14,14,0.0,3.2142857142857144,100.0
BIL→ZAR,14,14,0.0,2.4285714285714284,100.0
COR→GRN,13,13,0.0,0.7692307692307693,100.0
ALM→MAL,13,13,0.0,1.6923076923076923,100.0
MAD→ZAR,13,13,0.0,2.1538461538461537,100.0
MAD→BIL,13,9,0.0,1.4615384615384615,69.2
TER→HUS,13,13,0.0,1.7692307692307692,100.0
VIT→ZAR,13,13,0.0,2.076923076923077,100.0
BAD→CAC,13,13,0.0,0.46153846153846156,100.0
SEV→MAL,13,13,0.2594298383502816,2.076923076923077,100.0
MAL→ALM,13,13,0.0,1.6153846153846154,100.0
TAR→ZAR,13,13,0.0,1.8461538461538463,100.0
COR→MAD,13,13,0.0,1.7692307692307692,100.0
TAR→GIR,13,13,0.0,1.3076923076923077,100.0
OVI→MAD,13,13,71.49220386176749,2.8461538461538463,100.0
ZAR→TER,13,13,0.0,1.7692307692307692,100.0
MAD→SAL,13,13,94.58538667988513,2.0,100.0
HUS→TER,13,13,0.0,1.7692307692307692,100.0
CAS→MAD,13,13,0.0,3.1538461538461537,100.0
SEV→ALM,12,12,0.0,2.25,100.0
CDZ→COR,12,12,0.0,1.5,100.0
MAL→SEV,12,12,0.27234060680312194,1.8333333333333333,100.0
LUG→PON,12,12,0.0,1.25,100.0
STD→MAD,12,12,0.0,2.0833333333333335,100.0
STD→GIJ,12,12,0.0,1.25,100.0
MAL→MUR,12,12,0.0,2.25,100.0
SOR→ZAR,12,12,0.0,0.8333333333333334,100.0
LEO→PON,12,12,0.0,0.75,100.0
CAS→BCN,12,12,0.0,1.9166666666666667,100.0
MAD→ZAM,11,11,0.0,2.0,100.0
ZAR→SSB,11,11,0.0,1.5454545454545454,100.0
TAL→MAD,11,11,0.0,0.9090909090909091,100.0
MAD→PMP,11,11,0.0,2.6363636363636362,100.0
CRE→JER,11,11,0.0,2.3636363636363638,100.0
JAE→MAD,11,11,0.0,2.3636363636363638,100.0
SSB→STD,11,11,0.0,1.0,100.0
OUR→SCQ,11,11,0.0,0.6363636363636364,100.0
PON→ACO,11,11,0.0,0.9090909090909091,100.0
VIG→MAD,11,11,28.18498994240002,3.6363636363636362,100.0
GRN→COR,11,11,0.0,0.7272727272727273,100.0
GIR→CAS,11,11,0.2361227085303364,2.1818181818181817,100.0
GUA→TAR,11,11,0.0,2.5454545454545454,100.0
TAR→GUA,10,10,0.939007088342305,3.6,100.0
OVI→LEO,10,10,0.0,0.6,100.0
CAS→ALI,10,10,0.0,1.7,100.0
CAC→MAD,10,10,0.0,2.4,100.0
VLD→SOR,10,10,0.0,1.4,100.0
ZAR→VAL,10,10,0.0,2.3,100.0
VAL→CAR,10,10,0.0,1.2,100.0
MAD→SSB,10,7,0.0,1.3,70.0
CRE→CDZ,10,0,0.0,0.0,0.0
SEV→JAE,10,10,0.0,2.1,100.0
TER→ZAR,10,10,0.0,1.4,100.0
MAD→CAR,10,10,0.0,2.3,100.0
CUE→GUA,10,10,0.0,1.1,100.0
ALM→ALI,10,10,0.0,2.5,100.0
TAL→AVL,10,10,0.0,2.0,100.0
ZAR→GUA,10,10,0.0,1.2,100.0
BIL→MAD,10,10,0.0,1.3,100.0
TAR→VAL,9,9,0.0,1.8888888888888888,100.0
MAD→GRN,9,9,0.0,2.5555555555555554,100.0
LEO→OVI,9,9,0.0,0.4444444444444444,100.0
PMP→MAD,9,9,0.0,2.7777777777777777,100.0
SOR→SSB,9,9,0.0,1.5555555555555556,100.0
OVI→STD,9,9,0.0,1.5555555555555556,100.0
MAD→VIT,9,9,2.4821884019652822,1.8888888888888888,100.0
MAL→CDZ,9,9,0.0,1.5555555555555556,100.0
MER→CAC,9,9,0.0,0.8888888888888888,100.0
STD→OVI,9,9,0.0,1.0,100.0
ALM→CAR,9,9,0.0,1.6666666666666667,100.0
MAD→SEV,8,8,0.0,3.5,100.0
PMP→BIL,8,8,0.0,1.125,100.0
CAS→GIR,8,8,0.0,2.125,100.0
BIL→OVI,8,6,0.0,137.75,75.0
LUG→LEO,8,8,0.0,1.375,100.0
CAR→VAL,8,8,0.0,2.125,100.0
MAD→CAC,8,8,0.0,1.875,100.0
CRE→SEV,8,8,0.0,1.875,100.0
GIJ→BIL,8,8,46.56043654480405,1.125,100.0
VIT→PMP,8,8,0.0,1.0,100.0
ALG→ALM,8,8,0.0,2.125,100.0
BCN→VAL,8,8,0.0,2.125,100.0
GIJ→STD,8,8,0.0,1.625,100.0
ZAM→SAL,8,8,0.0,0.75,100.0
GUA→LLE,8,8,0.0,2.0,100.0
PMP→VIT,8,8,0.0,1.625,100.0
OUR→LUG,8,8,0.0,0.5,100.0
HUS→MAD,8,8,0.0,2.0,100.0
SAL→ZAM,8,8,0.2446655026304967,1.75,100.0
AVL→SEG,8,8,0.0,0.75,100.0
LOG→SOR,8,8,0.0,0.375,100.0
ZAM→VLD,8,8,0.0,1.0,100.0
MAD→OVI,8,8,0.0,2.75,100.0
CAS→ALM,8,8,0.0,3.375,100.0
LLE→GUA,7,7,0.0,2.2857142857142856,100.0
MAD→COR,7,7,0.0,1.5714285714285714,100.0
JAE→SEV,7,7,0.0,1.1428571428571428,100.0
JER→CRE,7,7,0.0,2.7142857142857144,100.0
LOG→BCN,7,7,0.0,3.7142857142857144,100.0
HUE→MAD,7,7,0.0,4.285714285714286,100.0
STD→SSB,7,7,0.0,2.0,100.0
MAL→JER,7,7,0.0,1.7142857142857142,100.0
CDZ→CRE,7,7,0.0,1.2857142857142858,100.0
BAD→TAL,7,7,0.0,1.7142857142857142,100.0
CAC→BAD,7,7,0.0,0.8571428571428571,100.0
ZAR→MAD,7,7,0.0,1.4285714285714286,100.0
COR→JAE,7,7,0.6230049506499914,1.4285714285714286,100.0
COR→MUR,7,7,0.0,2.2857142857142856,100.0
BIL→VLD,7,7,0.0,2.4285714285714284,100.0
VAL→ZAR,7,7,0.0,1.8571428571428572,100.0
MER→TAL,7,7,0.0,1.1428571428571428,100.0
MAD→LOG,7,3,0.0,0.5714285714285714,42.9
MAD→LLE,7,7,0.0,2.5714285714285716,100.0
CAR→ALM,7,7,0.0,1.0,100.0
