hour,num_sessions,energy_kwh
0,329,7371.1
1,189,3398.8
2,127,1782.9
3,91,853.2
4,77,400.6
5,86,668.5
6,163,2614.3
7,317,6487.2
8,513,11067.6
9,794,19005.2
10,993,25344.6
11,1018,25498.2
12,848,21106.5
13,758,18195.1
14,626,13990.6
15,629,13671.0
16,680,15274.9
17,907,21270.3
18,947,22571.2
19,1121,28272.0
20,1095,26776.2
21,979,24391.0
22,806,19322.0
23,543,11677.1
