hour,num_sessions,energy_kwh
0,872,22188.5
1,530,13780.1
2,331,9034.5
3,233,6607.4
4,198,5497.0
5,254,6418.3
6,368,9853.8
7,740,20371.0
8,1255,34717.9
9,1950,53296.6
10,2620,72101.0
11,2833,77247.3
12,2671,72116.9
13,2285,59333.2
14,1736,45375.4
15,1531,40905.4
16,1663,44795.0
17,2059,56459.6
18,2540,69864.2
19,2897,78989.5
20,2973,81006.5
21,2690,71964.4
22,2188,59319.0
23,1580,41273.9
