hour,num_sessions,energy_kwh
0,951,24362.2
1,425,10938.0
2,173,4207.2
3,69,1788.7
4,39,979.8
5,112,2585.8
6,284,8108.2
7,778,22606.9
8,1313,36643.9
9,2196,62184.0
10,2924,83530.1
11,3376,95366.3
12,3150,86105.4
13,2597,69424.0
14,1934,51068.3
15,1656,43982.2
16,1786,49539.2
17,2322,63662.3
18,2950,82141.0
19,3358,94756.3
20,3524,98726.9
21,3234,88485.7
22,2547,68681.7
23,1687,44631.2
