hour,num_sessions,energy_kwh
0,1816,52441.1
1,1146,31968.6
2,601,17106.0
3,357,10578.7
4,175,5302.8
5,130,3869.2
6,290,8371.3
7,694,21105.2
8,1205,36324.6
9,2054,62951.3
10,3063,93353.6
11,3690,111997.3
12,3792,112095.9
13,3492,99614.2
14,2973,83154.6
15,2378,68458.6
16,2308,68323.6
17,2685,79913.1
18,3248,97375.8
19,3975,117058.7
20,4157,124267.2
21,4064,120370.3
22,3519,103347.5
23,2652,77219.6
