hour,num_sessions,energy_kwh
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,1.0,52.5
4,5.0,93.3
5,91.0,1915.7
6,502.0,11614.5
7,1351.0,36393.3
8,1658.0,49110.2
9,1558.0,49547.5
10,1221.0,40264.7
11,833.0,27115.8
12,714.0,22470.9
13,621.0,19615.7
14,678.0,21703.3
15,784.0,23248.3
16,1030.0,29918.7
17,1336.0,39011.9
18,1518.0,45364.3
19,1459.0,45820.1
20,1232.0,39236.1
21,992.0,31582.6
22,756.0,24649.7
23,609.0,19241.4
